ケニア_ml,タンザニア_ml,コスタリカ_ml,mean,upper,lower,std
30.0,20.0,0.0,3.7769294,8.037033,-0.4831748,2.589729
30.0,20.0,10.0,3.9110973,8.315993,-0.49379897,2.6777484
30.0,20.0,20.0,4.156661,8.850222,-0.5368991,2.853228
30.0,20.0,30.0,4.4517207,9.438707,-0.53526545,3.0316026
30.0,30.0,0.0,4.691617,9.79252,-0.40928555,3.1008527
30.0,30.0,10.0,4.7543535,9.892677,-0.38397026,3.1236012
30.0,30.0,20.0,4.8591185,10.072266,-0.35402822,3.1690862
30.0,30.0,30.0,4.9795504,10.271306,-0.3122053,3.216873
30.0,40.0,0.0,5.077354,10.443571,-0.2888627,3.262138
30.0,40.0,10.0,5.09933,10.470583,-0.27192307,3.2651994
30.0,40.0,20.0,5.1354055,10.516808,-0.24599648,3.271369
30.0,40.0,30.0,5.1765056,10.568695,-0.21568394,3.277927
30.0,50.0,0.0,5.177798,10.582538,-0.22694206,3.2855563
30.0,50.0,10.0,5.1852818,10.5904255,-0.21986246,3.285802
30.0,50.0,20.0,5.2000756,10.606084,-0.20593262,3.2863271
30.0,50.0,30.0,5.218444,10.625393,-0.1885047,3.2868989
40.0,0.0,0.0,5.9676137,6.4047437,5.5304837,0.2657325
40.0,0.0,10.0,5.9416327,7.623703,4.2595625,1.0225351
40.0,0.0,20.0,5.8587823,8.923464,2.794101,1.8630282
40.0,0.0,30.0,5.740142,9.8525915,1.6276922,2.4999695
40.0,10.0,0.0,5.778888,8.912981,2.6447952,1.9052237
40.0,10.0,10.0,5.76342,9.168813,2.3580275,2.0701475
40.0,10.0,20.0,5.7060122,9.704768,1.7072561,2.4308548
40.0,10.0,30.0,5.6212997,10.205723,1.0368772,2.786883
40.0,20.0,0.0,5.4964395,10.319163,0.6737156,2.9317472
40.0,20.0,10.0,5.492746,10.372705,0.6127858,2.966541
40.0,20.0,20.0,5.470071,10.487392,0.45274878,3.0500438
40.0,20.0,30.0,5.43422,10.603691,0.2647481,3.1425362
40.0,30.0,0.0,5.325599,10.648788,0.0024094582,3.2359817
40.0,30.0,10.0,5.3268046,10.658173,-0.0045633316,3.2409532
40.0,30.0,20.0,5.3232584,10.674173,-0.027656555,3.2528358
40.0,30.0,30.0,5.315887,10.688847,-0.057072163,3.2662365
40.0,40.0,0.0,5.274189,10.67572,-0.1273427,3.2836058
40.0,40.0,10.0,5.275452,10.677661,-0.12675667,3.2840176
40.0,40.0,20.0,5.276465,10.680258,-0.12732792,3.2849805
40.0,40.0,30.0,5.2769794,10.6825485,-0.12858915,3.2860599
40.0,50.0,0.0,5.268427,10.67653,-0.1396761,3.2876008
40.0,50.0,10.0,5.2689686,10.677103,-0.1391654,3.2876194
40.0,50.0,20.0,5.269877,10.678081,-0.13832664,3.2876618
40.0,50.0,30.0,5.270923,10.679205,-0.13735867,3.2877092
